source_system,source_customer_id,user_id
AMAZON,CUST000001,4cb7e6f6-eab1-5125-a35d-ac398bf6261f
AMAZON,CUST000002,23877cf7-35a6-5e0e-ac07-e7afa458970b
AMAZON,CUST000003,4b92b8ee-7b82-5529-8885-33b58030c2ba
AMAZON,CUST000004,cbd78cbc-f6db-5df4-aa6b-1b1c73e44339
AMAZON,CUST000005,ad8c4217-7b39-538d-9b0d-de7c0161f92a
AMAZON,CUST000006,2f039d58-6d79-521b-925e-5ed9cb9dd6fa
AMAZON,CUST000007,2b97f676-863d-58cd-bd13-4931937b3b8f
AMAZON,CUST000008,d7af81a1-eeff-5566-8b2c-a2413495f067
AMAZON,CUST000009,a14376a7-f8ab-5ce4-818c-5ddb5d8d4a7a
AMAZON,CUST000010,051bd974-0409-57c6-8bce-079c22a05216
AMAZON,CUST000011,e35e9f29-7eb9-5c48-954d-7f11d61faee8
AMAZON,CUST000012,4e9b7ed9-e833-549a-8340-cf68f56d3ff4
AMAZON,CUST000014,755f7559-d007-5d82-8a6f-c19bb0db6129
AMAZON,CUST000015,f5b6fee2-fab2-5d2c-963f-88fe8061e8d8
AMAZON,CUST000016,2ed2d529-c2ad-5263-adb2-b80180491ea8
AMAZON,CUST000017,72000f33-4c27-5c96-bcd3-26bbea11ca9c
AMAZON,CUST000018,3155d632-d673-5be1-9dfe-de084bed0b1b
AMAZON,CUST000019,118fb44c-9520-53ab-bc11-aabcbb516a01
AMAZON,CUST000020,da16349e-38d7-5799-b378-e8963e9a221f
AMAZON,CUST000021,5d99d90b-bb67-5f0e-802d-b27e86ff9cbe
AMAZON,CUST000022,02174dc1-89ca-54b4-9748-bfca37de339b
AMAZON,CUST000023,f4b76312-e91f-527e-bf9a-92775116433f
AMAZON,CUST000024,ec9c2c41-8f8e-5f76-b590-799f3fba3981
AMAZON,CUST000025,09cc8add-3d81-5053-a961-8c820e43cd87
AMAZON,CUST000026,0aeb8173-567c-50b6-8231-00dca66d0fab
AMAZON,CUST000027,985f1c6d-5728-577e-8c8b-6d745f09fa05
AMAZON,CUST000029,d7f87e06-530c-5f4e-aea5-338a3f9a8c57
AMAZON,CUST000030,3c110b90-3c87-5383-ade2-53fa29c2580c
AMAZON,CUST000031,747a5d3a-ddd2-5b4b-8686-0d48fbed2fb2
AMAZON,CUST000032,658fe0a7-75a5-5143-aa38-0079c57638dd
AMAZON,CUST000033,efc0886e-a63e-5f78-84ec-9f96c69312f9
AMAZON,CUST000037,1604ba56-9872-5fcb-8d2e-28d3d6271abc
AMAZON,CUST000038,547d19bb-2ca5-5194-a146-fd9137ddd372
AMAZON,CUST000039,99b90c1e-b98f-545c-8854-54ece2f06dbd
AMAZON,CUST000040,c14b4f05-572d-531c-9b19-6011a43c9aff
AMAZON,CUST000041,39d9fccd-1841-5b9f-b465-b89d243e2f32
AMAZON,CUST000042,44902017-4215-5176-9c88-e9c6802ec450
AMAZON,CUST000043,9f70c7da-e1db-5d09-845f-91f556ce72d2
AMAZON,CUST000044,b2e8763f-cad8-542b-a74d-d6aa34cbd471
AMAZON,CUST000046,2709d81e-f041-5a78-bd26-cfa4027ec5c6
AMAZON,CUST000047,2a3ba4dc-c63d-55d6-aa40-54bc041852e6
AMAZON,CUST000048,51c3f6ef-cf6c-589e-b446-27ab9a427d12
AMAZON,CUST000049,d13d02b7-e6d5-5908-8948-471100de3f8d
AMAZON,CUST000050,633d24d7-7077-5770-818f-21f2cf0d2080
AMAZON,CUST000051,aa8f5bcb-d738-5b51-b584-4569903cf8e4
AMAZON,CUST000052,8b17dfdc-4d40-52ec-9570-d864bf418b06
AMAZON,CUST000053,38203762-a8cd-5318-831d-c24063844f55
AMAZON,CUST000054,2ccee37c-732e-5176-a4db-b050a932cdea
AMAZON,CUST000055,dabde8bc-8ad7-5945-a007-da398aef30d9
AMAZON,CUST000056,8211260f-7fd8-5f31-9cf8-0a9f590610bc
AMAZON,CUST000058,c55edb8b-cfe3-5f20-914a-bea14cc2b3e1
AMAZON,CUST000059,14de2148-7772-528d-a659-063c1b3ca4a2
AMAZON,CUST000061,41bcc33c-11d6-57a1-8503-297bb257cca8
AMAZON,CUST000062,ace14fa5-6be0-5141-ae40-09024dca05e9
AMAZON,CUST000063,82acd946-7e7d-5833-950e-eef49b58262f
AMAZON,CUST000064,068b917f-e0f7-5329-ad54-e77eec6fd8ef
AMAZON,CUST000065,a2501f31-b304-5821-9f1b-51a76eb46280
AMAZON,CUST000066,bc893788-e784-5b91-bb94-108c68d0a5d4
AMAZON,CUST000067,3d2b836e-1999-541a-8842-045e34cbe24a
AMAZON,CUST000068,83c68aaa-eb2e-5c4c-bf49-20fc1323a2df
AMAZON,CUST000069,94435e0d-137f-5001-88e5-a9306ea95aca
AMAZON,CUST000070,bc66d655-9d89-54ee-9dd6-b989db995810
AMAZON,CUST000071,b54481e2-cd7c-52ca-8088-e024be09aba3
AMAZON,CUST000072,3f4a39e7-3c06-523e-a9db-343e494fc1b5
AMAZON,CUST000073,e7387053-42f4-5a90-83ea-0976145e6d8b
AMAZON,CUST000074,dd26a0a9-bd30-5f68-93f3-3044044f192a
AMAZON,CUST000075,cb369dc5-16bb-50ce-8323-24c1b242f8d2
AMAZON,CUST000076,e353cec1-d69f-5820-b5d2-0506fd4d7762
AMAZON,CUST000077,4a115ed3-1ee9-5407-9592-e61378a52805
AMAZON,CUST000078,1afdc584-0c53-5986-b5d1-09cf4351ee2a
AMAZON,CUST000079,f817ce65-8d25-572e-8e81-54d21852da72
AMAZON,CUST000080,542502fd-5b79-57d9-930e-911b0f8b6e12
AMAZON,CUST000081,b4f29127-8506-5a63-9387-bba085ebe487
AMAZON,CUST000082,33e4ea9e-4b6e-580a-ad8f-9ffbac8f3bb0
AMAZON,CUST000083,f87db80b-b16e-50de-80b2-d58e7f990382
AMAZON,CUST000084,cd0c675e-ef95-5c8c-a47a-5d3a63a3b6db
AMAZON,CUST000085,175328b9-ea83-5a68-abbc-ec10fe78208d
AMAZON,CUST000086,42c92474-3bf1-55d7-8535-9ceb9e44b0b1
AMAZON,CUST000087,d462db72-fd9b-5e27-87bd-6103b90ea0ad
AMAZON,CUST000088,208e11bf-7402-52d0-8df8-029063e7858d
AMAZON,CUST000089,bfa211e8-b472-5687-8401-80b090ee8faf
AMAZON,CUST000091,8e75b578-c3b2-554a-bc49-3ca01da09c26
AMAZON,CUST000092,d1384a83-6ea3-5956-b0ae-5e8806d6457c
AMAZON,CUST000093,75201523-9c87-5234-abef-42ff62a008a5
AMAZON,CUST000094,59f82733-e46a-58fa-a1e7-cc9e7d1bd2c6
AMAZON,CUST000095,2ae9311c-7191-5d58-81cd-0e47e814457f
AMAZON,CUST000096,07e9dc0c-17c2-5980-bb30-b6070d917552
AMAZON,CUST000097,f4e45480-a26a-552f-bc26-4c4de129e4a6
AMAZON,CUST000098,804c8322-d097-5e92-90c9-cd765906ecc4
AMAZON,CUST000099,37c023fb-d49f-54ed-889c-cd52b8f58d12
AMAZON,CUST000100,7f6f5532-4813-59a4-8f5f-b0538fdb2442
AMAZON,CUST000101,dca71c66-71c9-53c8-bf19-e11e02c33b99
AMAZON,CUST000102,6a83bac2-856d-5e42-88a2-1b80286d72b5
AMAZON,CUST000103,cb8919b8-5aca-517c-a85e-6ba4c07ddc11
AMAZON,CUST000104,9cad2f38-de11-54f3-b708-4aaefc5b2c2d
AMAZON,CUST000105,244e1220-bf59-53cb-8429-70add77b6d6b
AMAZON,CUST000107,2c77f160-aa16-53dd-a987-aaf8e368c279
AMAZON,CUST000108,662a90d8-b734-5436-8b1c-89eec3bef943
AMAZON,CUST000109,070b8d83-b0b1-5b2b-8986-4a0fe0e8a2c7
AMAZON,CUST000110,4c6d087e-ad36-5595-b74d-70a63de99cb9
AMAZON,CUST000112,69789f3d-b2d2-5945-8012-255099b4d6c8
AMAZON,CUST000113,30c96cfa-6ed6-56ce-8cc1-93d255a0b3c1
AMAZON,CUST000115,e17bacad-1071-5dc1-bec5-577e0693d89d
